Deputāts/e,Frakcija,Dzimums,Dzimšanas gads,Dzīvesvieta,Izglitība,Politiska partija,Ievelēts/-a no saraksta,Mandāta statuss,Darbība 13.Saeimā,E-pasta adrese
"Adamovičs, Aldis",Jaunā Vienotība,V,1970,Preiļi,"Dabas zinātnes, Maģistra grāds (Latvijas Universitāte, 1999); Ekonomģeogrāfs, Ģeogrāfijas skolotājs vidusskolā (Latvijas Universitāte, 1998)",Latgales partija,Jaunā Vienotība,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/depArchive.html?ReadForm&unid=DE7DDFC52912D419C22583320029E403&url=./0/DE7DDFC52912D419C22583320029E403?OpenDocument&lang=LV,Aldis.Adamovics@saeima.lv
"Ādamsons, Jānis",Saskaņa,V,1956,"Ogres novads, Suntažu pagasts","Augstākā politiskā, jūras kara flotes stūrmanis (Kijevas Augstākā politiskā jūras karaskola, 1979); Vidējā izglītība (Bauskas 1. vidusskola, 1975)",Saskaņa,Saskaņa,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/depArchive.html?ReadForm&unid=00E836A691F4A32AC22583320029E552&url=./0/00E836A691F4A32AC22583320029E552?OpenDocument&lang=LV,Janis.Adamsons@saeima.lv
"Agešins, Valērijs",Saskaņa,V,1972,Liepāja,"Jurista kvalifikācija (Baltijas Krievu institūts, 2002); Pedagoģijas maģistra grāds (Latvijas Universitāte, 1998); Vēsturnieks, vēstures pasniedzējs, maģistra grāds (Kaļiņingradas Valsts universitāte, 1994)",Saskaņa,Saskaņa,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/depArchive.html?ReadForm&unid=507D89B1862A303BC22583320029E365&url=./0/507D89B1862A303BC22583320029E365?OpenDocument&lang=LV,Valerijs.Agesins@saeima.lv
"Ašeradens, Arvils",Jaunā Vienotība,V,1962,Rīga,"Ekonomiskā Ģeogrāfa maģistra grāds (Latvijas Universitāte, 1986)",Vienotība,Jaunā Vienotība,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/depArchive.html?ReadForm&unid=61DA2879573863FCC22583320029E395&url=./0/61DA2879573863FCC22583320029E395?OpenDocument&lang=LV,Arvils.Aseradens@saeima.lv
"Augulis, Uldis",Zaļo un Zemnieku Savienība,V,1972,"Dobeles novads, Bērzes pagasts","Finanšu vadība (Latvijas Universitāte, 2003); Vispārējā (Jaunpils vidusskola, 1990)",Latvijas Zemnieku savienība,Zaļo un Zemnieku Savienība,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/depArchive.html?ReadForm&unid=007260F64AC8FD87C22583320029E673&url=./0/007260F64AC8FD87C22583320029E673?OpenDocument&lang=LV,Uldis.Augulis@saeima.lv
"Baumane, Krista",Attīstībai/Par!,S,1973,Rīga,"Bakalaura grāds ar izcilību (Magna Cum Laude), Vadībzinībās (Starptautiskā universitāte Ženēvā, 2000)",Kustība Par!,Attīstībai/Par!,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/0/F3DA88336EAA1198C22583320029E482?OpenDocument&lang=LV,Krista.Baumane@saeima.lv
"Beitnere-Le Galla, Dagmāra",Jauno Konservatīvo frakcija,S,1955,Jūrmala,"Doktora zinātniskais grāds socioloģijā (Latvijas Universitāte, 2003)",Jaunā konservatīvā partija,Jaunā konservatīva partija,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/0/EFD494718E8E5586C22583320029E58B?OpenDocument&lang=LV,Dagmara.Beitnere-LeGalla@saeima.lv
"Benhena-Bēkena, Iveta",KPV LV,S,1986,Rīga,"Profesionālais bakalaura grāds Finanšu menedžmentā, Finanšu ekonomists (Latvijas Universitāte, 2014)",Par cilvēcīgu Latviju,KPV LV,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/0/7C23BE457765F0E9C22583320029E51E?OpenDocument&lang=LV,Iveta.Benhena-Bekena@saeima.lv
"Bergmanis, Raimonds",Zaļo un Zemnieku Savienība,V,1966,Rīga,"Pedagoģijas maģistra grāds sportā, sporta darba speciālists, smagatlētikas treneris (Latvijas Sporta pedagoģijas akadēmija, 2003); Ķīmiķis, stikla un sitālu ķīmiskās tehnoloģijas speciālists (maģistra grāds) (Rīgas Tehniskā universitāte, 1991)",Latvijas Zaļā partija,Zaļo un Zemnieku Savienība,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/depArchive.html?ReadForm&unid=7620E9A5B14FC7C9C22583320029E606&url=./0/7620E9A5B14FC7C9C22583320029E606?OpenDocument&lang=LV,Raimonds.Bergmanis@saeima.lv
"Bikše, Aigars",Attīstībai/Par!,V,1969,Jaunpils novads,"Mākslas maģistrs, Tēlniecība (Latvijas Mākslas akadēmija, 1994)",Latvijas attīstībai,Attīstībai/Par!,"Apstiprināts uz laiku, kamēr ministra pienākumus pilda deputāti, kuri ievēlēti no partijas “Attīstībai/Par!” Zemgales vēlēšanu apgabala kandidātu saraksta",https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/0/A60715ACB2608A77C22583320029E61F?OpenDocument&lang=LV,Aigars.Bikse@saeima.lv
"Blumbergs, Aldis",Pie frakcijām nepiederošie deputāti,V,1969,"Babītes novads, Babītes pagasts","Sociālo zinātņu maģistra grāds. Eiropas un starptautiskās tiesības (Latvijas Universitāte, 2004); Jurisprudence (Latvijas Universitāte, 2003); Mēbeļu ražošanas tehnologs (Rīgas Industriālais politehnikums, 1989)",,KPV LV,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/0/2DE6973DB7C1EC91C22583320029E5D9?OpenDocument&lang=LV,Aldis.Blumbergs@saeima.lv
"Bondars, Mārtiņš",Attīstībai/Par!,V,1971,Rīga,"Maģistra grāds publiskajā pārvaldībā (Hārvardas Universitāte, 2011); Bakalaura grāds starptautiskajā uzņēmējdarbībā (Leiklendas Universitāte, 1996)",Latvijas attīstībai,Attīstībai/Par!,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/depArchive.html?ReadForm&unid=68F0FB45D89C400BC22583320029E3E2&url=./0/68F0FB45D89C400BC22583320029E3E2?OpenDocument&lang=LV,Martins.Bondars@saeima.lv
"Budriķis, Uldis",Jauno Konservatīvo frakcija,V,1991,Liepāja,"Bakalaura grāds, Starptautiskais mārketings un tirgzinības (Starptautiskā biznesa augstskola (IBA), Koldinga, Dānija, 2014); Pirmā līmeņa augstākā izglītība, kvalifikācija - ekonomists (Starptautiskā biznesa augstskola (IBA), Koldinga, Dānija, 2012)",Jaunā konservatīvā partija,Jaunā konservatīva partija,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/0/F3B9A9B2C3C3406CC22583320029E380?OpenDocument&lang=LV,Uldis.Budrikis@saeima.lv
"Butāns, Jānis",Jauno Konservatīvo frakcija,V,1978,Rīga,"Maģistrs, Ģeogrāfija (Latvijas Universitāte, 2003); Biznesa vadība, tūrisms (Vidzemes Augstskola, 2001)",Jaunā konservatīvā partija,Jaunā konservatīva partija,"Apstiprināts uz laiku, kamēr ministra pienākumus pilda deputāti, kuri ievēlēti no Jaunās konservatīvās partijas Rīgas vēlēšanu apgabala kandidātu saraksta",https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/0/38E1E2C23DB5243FC22583320029E49E?OpenDocument&lang=LV,Janis.Butans@saeima.lv
"Čakša, Anda",Pie frakcijām nepiederošie deputāti,S,1974,"Inčukalns, Inčukalna pagasts","Tālākizglītības fakultātes mācību programma ""Psihodinamiskā psihoterapija (Rīgas Stradiņa universitāte, 2010); MBA veselības aprūpes vadība (Rīgas Starptautiskā ekonomikas un biznesa administrācijas augstskola, 2007); Specializācija anestezioloģijas un intensīvās terapijas specialitātē (Rīgas Stradiņa universitāte, 2002); FRezidentūra pediatrijā (Rīgas Stradiņa universitāte, 2002); Ārsts (Latvijas Medicīnas akadēmija, 1999)",Vienotība,Zaļo un Zemnieku Savienība,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/0/1103B707673565DDC22583320029E529?OpenDocument&lang=LV,Anda.Caksa@saeima.lv
"Cielēns, Jānis",Jauno Konservatīvo frakcija,V,1986,"Beverīnas novads, Kauguru pagasts","Vadībzinātne (Latvijas Universitāte, 2009)",Jaunā konservatīvā partija,Jaunā konservatīva partija,"Apstiprināts uz laiku, kamēr ministra pienākumus pilda deputāti, kuri ievēlēti no Jaunās konservatīvās partijas Vidzemes vēlēšanu apgabala kandidātu saraksta",https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/0/EA0B229DAFFF5EB9C22583320029E584?OpenDocument&lang=LV,Janis.Cielens@saeima.lv
"Cilevičs, Boriss",Saskaņa,V,1956,Rīga,"Maģistra grāds fizikā (Latvijas Universitāte, 1993); Fizikas specialitāte (Latvijas Valsts universitāte, 1978)",Saskaņa,Saskaņa,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/depArchive.html?ReadForm&unid=4C414288345F4DDDC22583320029E45E&url=./0/4C414288345F4DDDC22583320029E45E?OpenDocument&lang=LV,Boriss.Cilevics@saeima.lv
"Daudze, Gundars",Zaļo un Zemnieku Savienība,V,1965,Ventspils,"Internatūra anestezioloģijā un reanimatoloģijā. Anesteziologs - reanimatologs (Republikas bērnu klīniskā slimnīca, 1990); Ārsts - pediatrs (Rīgas Medicīnas institūts, 1989); Vispārējā (Rīgas 49. vidusskola, 1983)",Latvijai un Ventspilij,Zaļo un Zemnieku Savienība,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/depArchive.html?ReadForm&unid=AF9F7174318A6023C22583320029E3C6&url=./0/AF9F7174318A6023C22583320029E3C6?OpenDocument&lang=LV,Gundars.Daudze@saeima.lv
"Dolgopolovs, Sergejs",Saskaņa,V,1941,Rīga,"Ķīmijas fakultāte, aspirantūra,ķīmijas tehnoloģijas procesi un aparāti (Rīgas Politehniskais institūts, 1969); Ķīmijas fakultāte, inženieris tehnologs (Rīgas Politehniskais institūts, 1963); Vidējā izglītība (Rīgas 23. vidusskola, 1958)",Saskaņa,Saskaņa,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/depArchive.html?ReadForm&unid=6E80576A8814C7E0C22583320029E55A&url=./0/6E80576A8814C7E0C22583320029E55A?OpenDocument&lang=LV,Sergejs.Dolgopolovs@saeima.lv
"Dombrava, Jānis",Nacionāla Apvienība VL-TB/LNNK,V,1988,Rīga,"Bakalaura grāds vēsturē (Latvijas Universitāte, 2010)",Nacionāla Apvienība VL-TB/LNNK,Nacionālā apvienība VL-TB/LNNK,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/depArchive.html?ReadForm&unid=10820A970C373806C22583320029E5D0&url=./0/10820A970C373806C22583320029E5D0?OpenDocument&lang=LV,Janis.Dombrava@saeima.lv
"Dombrovskis, Vjačeslavs",Pie frakcijām nepiederošie deputāti,V,1977,"Garkalnes novads, Sunīši","Valsts finanses un ekonometrija, doktora grāds ekonomikā (Klarka Universitāte (ASV), 2003); Maģistra grāds ekonomikā (Klarka Universitāte (ASV), 2001); Bakalaura grāds ekonomikā un finansēs (Latvijas Universitāte, 1999)",,Saskaņa,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/depArchive.html?ReadForm&unid=736E04018447AEA1C22583320029E442&url=./0/736E04018447AEA1C22583320029E442?OpenDocument&lang=LV,Vjačeslavs.Dombrovskis@saeima.lv
"Dūklavs, Jānis",Zaļo un Zemnieku Savienība,V,1952,"Jaunpiebalgas novads, Jaunpiebalga","Inženieris- mežkopis, maģistra grāds (Latvijas Lauksaimniecības akadēmija, 1976)",,Zaļo un Zemnieku Savienība,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/depArchive.html?ReadForm&unid=54ED10B72BF59C6FC22583320029E43E&url=./0/54ED10B72BF59C6FC22583320029E43E?OpenDocument&lang=LV,Janis.Duklavs@saeima.lv
"Dūrītis, Ilmārs",Attīstībai/Par!,V,1976,Jelgava,"Zinātņu doktora grāds, Veterinārmedicīna (Latvijas Lauksaimniecības universitāte, 2010); Maģistra grāds, Veterinārmedicīna (Latvijas Lauksaimniecības universitāte, 2003); Veterinārārsts (Latvijas Lauksaimniecības universitāte, 2000)",Kustība Par!,Attīstībai/Par!,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/0/3B9C992573617919C22583320029E622?OpenDocument&lang=LV,Ilmars.Duritis@saeima.lv
"Dzintars, Raivis",Nacionāla Apvienība VL-TB/LNNK,V,1982,Sigulda,"Politologs (Latvijas Universitāte, 2010)",Nacionāla Apvienība VL-TB/LNNK,Nacionālā apvienība VL-TB/LNNK,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/depArchive.html?ReadForm&unid=BB26E547129E6E20C22583320029E5D2&url=./0/BB26E547129E6E20C22583320029E5D2?OpenDocument&lang=LV,Raivis.Dzintars@saeima.lv
"Eglītis, Gatis",Jauno Konservatīvo frakcija,V,1978,"Engures novads, Plieņciems","Maģistra grāds starptautiskajās attiecībās (Vīnes Diplomātijas akadēmija, 2003); Starptautiskās attiecības (Džona Hopkinsa universitāte, Boloņa, 2002); Bakalaura grāds ekonomikā (Rīgas Ekonomikas augstskola, 2000)",Jaunā konservatīvā partija,Jaunā konservatīva partija,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/0/AF3AE27555B8DCABC22583320029E48F?OpenDocument&lang=LV,Gatis.Eglitis@saeima.lv
"Feldmans, Krišjānis",Jauno Konservatīvo frakcija,V,1985,Rīga,"Profesionālā maģistra grāds uzņēmumu un organizāciju vadīšanā (Banku augstskola, 2009); Profesionālā bakalaura grāds uzņēmējdarbības vadīšanā, kvalifikācija - uzņēmuma vadītājs (Banku augstskola, 2007); 1. līmeņa profesionālā augstākā izglītība, kvalifikācija - uzņēmējdarbības speciālists (Banku augstskola, 2005)",Jaunā konservatīvā partija,Jaunā konservatīva partija,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/0/D7E480BC46413BA2C22583320029E639?OpenDocument&lang=LV,Krisjanis.Feldmans@saeima.lv
"Geidāns, Aivars",KPV LV,V,1985,"Jelgavas novads, Jaunsvirlaukas pagasts","Bakalaura grāds, starptautiskā tūrisma vadība (Biznesa augstskola Turība, 2017); Mazumtirdzniecības komercdarbinieks (Rīgas Tirdzniecības tehnikums, 2004)",Par cilvēcīgu Latviju,KPV LV,"Apstiprināts uz laiku, kamēr ministra pienākumus pilda deputāti, kuri ievēlēti no partijas “KPV LV” Zemgales vēlēšanu apgabala kandidātu saraksta",https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/0/F2075094A989CDCFC22583320029E66A?OpenDocument&lang=LV,Aivars.Geidans@saeima.lv
"Ģirģens, Kaspars",KPV LV,V,1985,Jēkabpils,"Profesionālais maģistra grāds uzņēmumu un organizāciju vadīšanā (Banku Augstskola, 2012); Profesionālais bakalaura grāds uzņēmējdarbības vadībā (Biznesa augstskola Turība, 2009); Profesionālais bakalaura grāds mārketinga menedžmentā (Roskildes Biznesa koledža, 2008); Komercdarbinieks (Jēkabpils Agrobiznesa koledža, 2005); ",Par cilvēcīgu Latviju,KPV LV,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/0/87DF0FBB4E220BAAC22583320029E666?OpenDocument&lang=LV,Kaspars.Girgens@saeima.lv
"Gobzems, Aldis",Pie frakcijām nepiederošie deputāti,V,1978,Rīga,"Jurists, maģistra grāds (Latvijas Universitāte, 2003); Jurists, bakalaura grāds (Latvijas Universitāte, 2002)",Likums un kārtība,KPV LV,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/0/AA7771F3E3A7284FC22583320029E51D?OpenDocument&lang=LV,Aldis.Gobzems@saeima.lv
"Goldberga, Inga",Saskaņa,S,1966,"Krāslavas novads, Krāslava","Arhitektūra (Rīgas Tehniskā universitāte, 1990)",Saskaņa,Saskaņa,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/0/45C5A1EB96613431C22583320029E3D0?OpenDocument&lang=LV,Inga.Goldberga@saeima.lv
"Golubeva, Marija",Attīstībai/Par!,S,1973,Rīga,"Zinātņu doktora grāds (Kembridžas universitāte, 2000); Maģistra grāds vēsturē (Centrālās Eiropas universitāte, 1995); Bakalaura grāds angļu filoloģijā (Latvijas Universitāte, 1994)",Kustība Par!,Attīstībai/Par!,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/0/D02DF40971ABF54EC22583320029E476?OpenDocument&lang=LV,Marija.Golubeva@saeima.lv
"Iesalnieks, Jānis",Nacionāla Apvienība VL-TB/LNNK,V,1984,Ventspils,"Jurists (Latvijas Universitāte, 2007)",Nacionāla Apvienība VL-TB/LNNK,Nacionālā apvienība VL-TB/LNNK,"Apstiprināts uz laiku, kamēr ministra pienākumus pilda deputāti, kuri ievēlēti no Nacionālā apvienības VL-TB/LNNK Rīgas vēlēšanu apgabala kandidātu saraksta",https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/0/D1518D23FFF7B5BBC22583320029E4E7?OpenDocument&lang=LV,Janis.Iesalnieks@saeima.lv
"Ikstena, Inese",Attīstībai/Par!,S,1968,Jūrmala,"Maģistra grāds, Uzņēmumu un iestāžu vadītāja (Biznesa augstskola ""Turība"", 2014); Bakalaura grāds, Ekonomika (Latvijas lauksaimniecības universitāte, 2002)",Latvijas attīstībai,Attīstībai/Par!,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/0/888F12D8992DFFA3C22583320029E56B?OpenDocument&lang=LV,Inese.Ikstena@saeima.lv
